date,dh15t10y,dh15t2y,dusgg10yr,dusgg2yr,dvix,expcttg,expcttg_ttdm,gmxn02yr,gmxn02yr_ttdm,gmxn02yr_ttwd,gmxn05yr,gmxn05yr_ttdm,gmxn05yr_ttwd,gmxn10yr,gmxn10yr_ttdm,gmxn10yr_ttwd,gmxn30yr,gmxn30yr_ttdm,gmxn30yr_ttwd,iclmsurp,idx04,idx11,levelwti,melhsfx,merhs,mpsw28t,mpsw28t_ttdm,mpsw28t_ttwd,mpswc,mpswc_ttdm,mpswc_ttwd,mxibtiie,mxibtiiecmp,mxonbr,nfpaysurp,regular,svyshkav,trmsprd10_1,trmsprd10_2,unempsurp,usdmxn,usdmxn_ttdm,usdmxn_ttwd,usjobsday,p0gmxn02yr,p0gmxn05yr,p0gmxn10yr,p0gmxn30yr,p0usdmxn,p1gmxn02yr,p1gmxn05yr,p1gmxn10yr,p1gmxn30yr,p1usdmxn,p2gmxn02yr,p2gmxn05yr,p2gmxn10yr,p2gmxn30yr,p2usdmxn,p3gmxn02yr,p3gmxn05yr,p3gmxn10yr,p3gmxn30yr,p3usdmxn,p4gmxn02yr,p4gmxn05yr,p4gmxn10yr,p4gmxn30yr,p4usdmxn,p5gmxn02yr,p5gmxn05yr,p5gmxn10yr,p5gmxn30yr,p5usdmxn,p6gmxn02yr,p6gmxn05yr,p6gmxn10yr,p6gmxn30yr,p6usdmxn,p7gmxn02yr,p7gmxn05yr,p7gmxn10yr,p7gmxn30yr,p7usdmxn,p8gmxn02yr,p8gmxn05yr,p8gmxn10yr,p8gmxn30yr,p8usdmxn,p9gmxn02yr,p9gmxn05yr,p9gmxn10yr,p9gmxn30yr,p9usdmxn,p10gmxn02yr,p10gmxn05yr,p10gmxn10yr,p10gmxn30yr,p10usdmxn
18-Jan-00,6,3,6.7,3.5,1.84,,,,,,,,,,,,,,,0,0,0,28.85,,,,,,,,,-10.5,-10.5,,0,1,0,,,0,,-23.590932,,,,,,,-23.590932,,,,,-6.5828593,,,,,14.318672,,,,,47.966293,,,,,116.07791,,,,,118.70045,,,,,91.918238,,,,,127.61194,,,,,174.97145,,,,,179.87232,,,,,179.87232
16-May-00,-4,1,-2.2,2.7,-.52,,,,,,,,,,,,,,,0,0,0,29.73,,,,,,,0,,-19.5,-19.5,,0,1,0,,,0,,-26.264658,,,,,,,-26.264658,,,,,13.630408,,,,,26.719073,,,,,60.669642,,,,,4.195951,,,,,-11.547952,,,,,-1.0492629,,,,,-15.750515,,,,,6.2932664,,,,,-1.0492629,,,,,-13.649013
26-Jun-00,-8,-5,-8.3,-5.3,.11,,,,,,,,,,,,,,,0,0,0,31.63,,,,,,,25,,19,19,,0,1,0,,,0,,111.00669,,,,,,,111.00669,,,,,138.31894,,,,,13.566819,,,,,-27.693177,,,,,-115.3042,,,,,-383.36149,,,,,-440.99853,,,,,-412.13849,,,,,-409.51897,,,,,-429.44452,,,,,-491.04473
31-Jul-00,0,0,-.3,.8,-.1,,,,,,,,,,,,,,,0,0,0,27.43,,,,,,,22.5,,9,9,,0,1,0,,,0,,-29.895388,,,,,,,-29.895388,,,,,-40.594009,,,,,-26.688033,,,,,13.84968,,,,,-32.034197,,,,,-50.768312,,,,,-46.483133,,,,,-57.735646,,,,,-58.807975,,,,,-116.88514,,,,,-117.96383
17-Oct-00,-6,-6,-5.9,-5.1,1.05,,,,,,,,,,,,,,,0,0,0,32.99,,,,,,,-46,,3,3,,0,1,0,,,0,,38.21494,,,,,,,38.21494,,,,,14.675055,,,,,-2.0981956,,,,,30.897356,,,,,45.527172,,,,,58.988583,,,,,124.05684,,,,,156.12307,,,,,107.46621,,,,,71.390425,,,,,35.079488
10-Nov-00,0,-2,-4.2,-5.9,1.33,,,,,,,,,,,,,,,0,0,0,34.02,,,,,,,-2.5,,-4,-4,,0,1,0,,,0,,-78.064409,,,,,,,-78.064409,,,,,-119.6345,,,,,-138.32923,,,,,-187.01523,,,,,-154.84747,,,,,-197.5846,,,,,-221.19461,,,,,-250.49338,,,,,-276.99981,,,,,-254.10859,,,,,-262.62013
12-Jan-01,11,13,14,15.8,-1.23,,,,,,,,,,,,,,,0,0,0,30.05,,,,,,,0,,6.5,6.5,,0,1,0,,,0,,39.694647,,,,,,,39.694647,,,,,69.967122,,,,,117.21051,,,,,23.511777,,,,,-50.350781,,,,,-52.390494,,,,,-79.456045,,,,,-75.161523,,,,,-209.67493,,,,,-181.94513,,,,,-185.14875
18-May-01,-5,4,-.2,3.5,-.24,,,,0,,,0,,,,,,,,0,0,0,29.91,,,,,,,-42.5,,-15,-15,,0,1,0,,,0,,36.076076,,,0,0,,,36.076076,0,0,,,-22.265525,-171.5,0,,,-25.052205,-160.9,0,,,71.580839,-146,-86.9,,,85.813675,-142.6,-86.9,,,100.13638,-137,-86.9,,,102.33805,-132,-86.9,,,118.83517,-115.7,-86.9,,,217.79445,-115.7,-86.9,,,199.27996,-94.9,-86.9,,,187.82739
31-Jul-01,-4,-7,-1.2,-4.9,-1.07,,,,-7.3,,,-.1,,,,,,,,0,0,0,26.35,,,,,,,-20,,-7.5,-7.5,,0,1,0,,,0,,-19.671063,,,-7.3,-.1,,,-19.671063,-21.8,5.1,,,63.665023,-35.4,14.9,,,7.0939404,-35.8,-1.8,,,4.3660973,-69.3,-17.9,,,-26.236692,-79.6,-8.3,,,-56.384438,-81.7,-10.7,,,-68.469032,-68.1,-11.1,,,-44.314431,-70.4,-5.7,,,-81.668902,-63.4,-5.5,,,-59.678789,-58.6,-1.5,,,-32.258974
8-Feb-02,-3,-4,-6,-5,-1.85,,,,22.6,,,5.7,,,3.1,,,,,0,0,0,20.26,,,,,,,14,,-15,-15,,0,1,0,,,0,,-91.183541,,,22.6,5.7,3.1,,-91.183541,25.2,10.8,7,,-68.612032,16.9,8.6,1.9,,-100.55742,24.2,2.8,-.7,,-93.388369,19.3,1.5,-2.2,,-81.818439,27,1.8,-2.3,,-104.9717,15.2,2.9,-1.9,,-98.902569,15.5,2.7,-2.3,,-73.562391,-.8,.9,-4.7,,-90.63241,1.2,-1.4,-4.4,,-74.112582,.6,-1.7,-4.6,,-65.862891
